Modelo,Acurácia,Acurácia Balanceada,Precisão Classe 1,Recall Classe 1,F1-Score Classe 1:
Arvore de decisão,0.7991266375545851,0.804727157360406,0.3939393939393939,0.8125,0.5306122448979592
SVM,0.8165938864628821,0.7625317258883249,0.4074074074074074,0.6875,0.5116279069767442
